rodzina;wzrost_ojca;wzrost_matki;plec;liczba_dzieci;wzrost_dziecka
31;184,15;157,48;0;6;167,64
31;184,15;157,48;0;6;165,1
31;184,15;157,48;0;6;165,1
32;182,88;157,48;1;5;187,96
32;182,88;157,48;1;5;182,88
32;182,88;157,48;1;5;175,26
32;182,88;157,48;0;5;171,45
32;182,88;157,48;0;5;161,29
33;182,88;157,48;1;5;182,88
33;182,88;157,48;1;5;181,61
33;182,88;157,48;1;5;181,61
33;182,88;157,48;1;5;177,8
33;182,88;157,48;0;5;172,72
34;182,88;154,94;0;1;166,878
35;180,34;175,26;1;5;198,12
35;180,34;175,26;1;5;187,96
35;180,34;175,26;1;5;185,42
35;180,34;175,26;1;5;182,88
35;180,34;175,26;0;5;170,18
36;180,34;170,18;1;4;185,928
36;180,34;170,18;1;4;185,42
36;180,34;170,18;1;4;175,26
36;180,34;170,18;0;4;170,18
37;180,34;167,64;1;4;177,8
37;180,34;167,64;0;4;170,18
37;180,34;167,64;0;4;170,18
37;180,34;167,64;0;4;168,91
38;180,34;167,64;1;6;177,8
38;180,34;167,64;1;6;175,26
38;180,34;167,64;1;6;173,99
38;180,34;167,64;0;6;167,64
38;180,34;167,64;0;6;163,83
38;180,34;167,64;0;6;160,02
39;180,34;167,64;1;2;180,34
39;180,34;167,64;0;2;170,18
40;180,34;167,64;1;5;193,04
40;180,34;167,64;1;5;182,88
40;180,34;167,64;1;5;180,34
40;180,34;167,64;1;5;167,64
40;180,34;167,64;0;5;167,64
41;182,118;166,37;1;1;179,07
42;180,34;166,37;1;6;182,88
42;180,34;166,37;1;6;182,88
42;180,34;166,37;1;6;180,34
42;180,34;166,37;1;6;175,26
42;180,34;166,37;0;6;167,64
42;180,34;166,37;0;6;165,1
43;181,61;166,37;1;2;185,42
43;181,61;166,37;0;2;165,608
44;181,61;165,1;1;2;173,99
44;181,61;165,1;1;2;171,958
45;180,34;165,1;1;3;172,72
45;180,34;165,1;1;3;172,72
45;180,34;165,1;0;3;157,48
46;180,34;162,56;0;8;172,72
46;180,34;162,56;0;8;172,72
46;180,34;162,56;0;8;171,45
46;180,34;162,56;0;8;168,91
46;180,34;162,56;0;8;168,91
46;180,34;162,56;0;8;167,64
46;180,34;162,56;0;8;166,37
46;180,34;162,56;0;8;165,1
47;182,118;163,83;1;4;182,88
47;182,118;163,83;1;4;180,34
47;182,118;163,83;1;4;179,07
47;182,118;163,83;0;4;170,18
48;180,34;162,56;1;3;172,72
48;180,34;162,56;1;3;172,72
48;180,34;162,56;1;3;172,72
49;181,61;163,83;1;7;182,88
49;181,61;163,83;1;7;180,34
49;181,61;163,83;1;7;177,8
49;181,61;163,83;0;7;167,64
49;181,61;163,83;0;7;163,83
49;181,61;163,83;0;7;163,83
49;181,61;163,83;0;7;157,48
51;180,848;160,02;0;2;171,45
51;180,848;160,02;0;2;163,83
52;180,34;161,29;1;5;180,34
52;180,34;161,29;1;5;170,18
52;180,34;161,29;0;5;167,64
52;180,34;161,29;0;5;165,1
52;180,34;161,29;0;5;161,29
53;180,34;160,02;1;9;180,34
53;180,34;160,02;1;9;177,8
53;180,34;160,02;1;9;177,8
53;180,34;160,02;1;9;162,56
53;180,34;160,02;0;9;165,1
53;180,34;160,02;0;9;165,1
53;180,34;160,02;0;9;162,56
53;180,34;160,02;0;9;160,02
53;180,34;160,02;0;9;160,02
54;180,34;160,02;1;4;180,34
54;180,34;160,02;1;4;180,34
54;180,34;160,02;1;4;177,8
54;180,34;160,02;0;4;161,29
55;180,34;157,48;1;5;180,34
55;180,34;157,48;1;5;177,8
55;180,34;157,48;0;5;163,83
55;180,34;157,48;0;5;158,75
55;180,34;157,48;0;5;156,21
56;180,34;157,48;1;5;182,88
56;180,34;157,48;1;5;179,07
56;180,34;157,48;1;5;179,07
56;180,34;157,48;0;5;163,83
56;180,34;157,48;0;5;152,4
57;180,34;158,75;1;5;177,8
57;180,34;158,75;0;5;162,56
57;180,34;158,75;0;5;162,56
57;180,34;158,75;0;5;162,56
57;180,34;158,75;0;5;158,75
58;180,34;157,48;1;7;179,07
58;180,34;157,48;1;7;177,8
58;180,34;157,48;1;7;175,26
58;180,34;157,48;1;7;175,26
58;180,34;157,48;1;7;167,64
58;180,34;157,48;0;7;163,83
58;180,34;157,48;0;7;162,56
59;180,34;154,94;0;1;157,48
60;180,34;147,32;1;2;181,61
60;180,34;147,32;1;2;175,26
61;177,8;175,26;1;4;180,34
61;177,8;175,26;1;4;177,8
61;177,8;175,26;1;4;175,26
61;177,8;175,26;0;4;175,26
62;177,8;175,26;1;6;177,8
62;177,8;175,26;1;6;174,498
62;177,8;175,26;0;6;172,72
62;177,8;175,26;0;6;167,64
62;177,8;175,26;0;6;162,56
62;177,8;175,26;0;6;157,48
63;177,8;172,72;1;1;190,5
64;177,8;170,18;1;5;177,8
64;177,8;170,18;1;5;175,26
64;177,8;170,18;0;5;167,64
64;177,8;170,18;0;5;162,56
64;177,8;170,18;0;5;152,4
65;177,8;170,18;0;1;171,45
66;177,8;168,91;1;11;185,42
66;177,8;168,91;1;11;182,88
66;177,8;168,91;1;11;182,88
66;177,8;168,91;1;11;168,91
66;177,8;168,91;0;11;175,768
66;177,8;168,91;0;11;170,688
66;177,8;168,91;0;11;168,91
66;177,8;168,91;0;11;167,64
66;177,8;168,91;0;11;167,64
66;177,8;168,91;0;11;163,068
66;177,8;168,91;0;11;161,798
67;179,07;165,1;1;4;182,88
67;179,07;165,1;1;4;178,308
67;179,07;165,1;1;4;175,26
67;179,07;165,1;1;4;173,99
68;179,07;165,1;0;5;172,72
68;179,07;165,1;0;5;165,1
68;179,07;165,1;0;5;156,21
68;179,07;165,1;0;5;154,94
68;179,07;165,1;0;5;154,94
69;177,8;165,1;1;8;185,42
69;177,8;165,1;1;8;182,88
69;177,8;165,1;1;8;179,07
69;177,8;165,1;1;8;165,1
69;177,8;165,1;1;8;165,1
69;177,8;165,1;0;8;163,83
69;177,8;165,1;0;8;160,02
69;177,8;165,1;0;8;157,48
70;177,8;165,1;1;5;170,18
70;177,8;165,1;1;5;165,1
70;177,8;165,1;0;5;163,83
70;177,8;165,1;0;5;158,75
70;177,8;165,1;0;5;158,75
71;177,8;165,1;1;6;177,8
71;177,8;165,1;1;6;177,8
71;177,8;165,1;0;6;170,18
71;177,8;165,1;0;6;165,1
71;177,8;165,1;0;6;165,1
71;177,8;165,1;0;6;160,02
72;177,8;165,1;1;7;200,66
72;177,8;165,1;1;7;190,5
72;177,8;165,1;1;7;180,34
72;177,8;165,1;0;7;175,26
72;177,8;165,1;0;7;170,18
72;177,8;165,1;0;7;166,878
72;177,8;165,1;0;7;157,48
73;177,8;165,1;1;3;185,42
73;177,8;165,1;1;3;184,15
73;177,8;165,1;0;3;165,1
74;177,8;165,1;1;2;175,26
74;177,8;165,1;1;2;175,26
75;177,8;164,338;1;7;182,88
75;177,8;164,338;1;7;177,8
75;177,8;164,338;1;7;174,498
75;177,8;164,338;0;7;168,91
75;177,8;164,338;0;7;166,37
75;177,8;164,338;0;7;164,338
75;177,8;164,338;0;7;163,83
76;177,8;162,56;1;7;179,578
76;177,8;162,56;1;7;177,8
76;177,8;162,56;1;7;172,72
76;177,8;162,56;1;7;170,18
76;177,8;162,56;1;7;167,64
76;177,8;162,56;1;7;165,1
76;177,8;162,56;0;7;170,18
77;177,8;162,56;1;4;177,8
77;177,8;162,56;1;4;172,72
77;177,8;162,56;1;4;169,418
77;177,8;162,56;0;4;166,37
78;177,8;163,068;1;5;182,88
78;177,8;163,068;1;5;177,8
78;177,8;163,068;0;5;158,75
78;177,8;163,068;0;5;155,448
78;177,8;163,068;0;5;152,654
79;179,07;162,56;1;8;187,96
79;179,07;162,56;1;8;176,53
79;179,07;162,56;1;8;175,26
79;179,07;162,56;1;8;172,72
79;179,07;162,56;1;8;172,72
79;179,07;162,56;1;8;172,72
79;179,07;162,56;0;8;166,37
79;179,07;162,56;0;8;165,1
80;179,07;163,83;0;1;152,4
81;177,8;162,56;1;4;172,72
81;177,8;162,56;0;4;165,1
81;177,8;162,56;0;4;162,56
81;177,8;162,56;0;4;157,48
82;177,8;162,56;1;9;180,34
82;177,8;162,56;1;9;177,8
82;177,8;162,56;1;9;177,8
82;177,8;162,56;1;9;177,8
82;177,8;162,56;1;9;176,53
82;177,8;162,56;1;9;173,99
82;177,8;162,56;0;9;175,26
82;177,8;162,56;0;9;165,1
82;177,8;162,56;0;9;162,56
83;177,8;161,798;1;8;177,8
83;177,8;161,798;1;8;170,18
83;177,8;161,798;1;8;166,37
83;177,8;161,798;0;8;161,798
83;177,8;161,798;0;8;160,528
83;177,8;161,798;0;8;158,75
83;177,8;161,798;0;8;157,988
83;177,8;161,798;0;8;154,94
85;179,07;160,02;1;5;184,15
85;179,07;160,02;1;5;175,26
85;179,07;160,02;1;5;170,18
85;179,07;160,02;0;5;163,83
85;179,07;160,02;0;5;162,56
86;177,8;161,29;1;4;180,34
86;177,8;161,29;1;4;171,45
86;177,8;161,29;0;4;171,45
86;177,8;161,29;0;4;161,29
87;177,8;160,02;1;4;172,72
87;177,8;160,02;1;4;170,18
87;177,8;160,02;0;4;161,798
87;177,8;160,02;0;4;157,48
88;177,8;160,02;1;4;177,8
88;177,8;160,02;1;4;168,91
88;177,8;160,02;0;4;157,48
88;177,8;160,02;0;4;154,94
89;179,07;157,48;1;8;182,88
89;179,07;157,48;1;8;177,8
89;179,07;157,48;1;8;176,53
89;179,07;157,48;1;8;176,53
89;179,07;157,48;1;8;172,72
89;179,07;157,48;0;8;165,1
89;179,07;157,48;0;8;162,56
89;179,07;157,48;0;8;160,02
90;178,562;159,258;1;7;179,578
90;178,562;159,258;1;7;177,038
90;178,562;159,258;1;7;175,768
90;178,562;159,258;1;7;165,608
90;178,562;159,258;0;7;162,56
90;178,562;159,258;0;7;161,29
90;178,562;159,258;0;7;160,528
91;179,07;157,48;1;3;182,88
91;179,07;157,48;1;3;182,88
91;179,07;157,48;0;3;152,4
92;177,8;154,94;1;2;180,848
92;177,8;154,94;1;2;170,18
93;177,8;152,4;1;4;170,18
93;177,8;152,4;1;4;163,83
93;177,8;152,4;0;4;165,1
93;177,8;152,4;0;4;160,02
94;177,8;152,4;0;2;165,1
94;177,8;152,4;0;2;165,1
95;177,8;148,59;1;3;181,61
95;177,8;148,59;1;3;163,83
95;177,8;148,59;0;3;160,02
96;177,8;147,32;1;5;182,88
96;177,8;147,32;1;5;167,64
96;177,8;147,32;0;5;167,64
96;177,8;147,32;0;5;165,1
96;177,8;147,32;0;5;160,02
97;175,26;173,99;1;10;190,5
97;175,26;173,99;1;10;180,34
97;175,26;173,99;1;10;177,8
97;175,26;173,99;0;10;167,64
97;175,26;173,99;0;10;167,64
97;175,26;173,99;0;10;166,37
97;175,26;173,99;0;10;165,1
97;175,26;173,99;0;10;165,1
97;175,26;173,99;0;10;162,56
97;175,26;173,99;0;10;162,56
98;175,26;170,18;0;1;162,56
99;175,26;167,64;1;8;185,42
99;175,26;167,64;1;8;182,88
99;175,26;167,64;1;8;182,118
99;175,26;167,64;1;8;181,61
99;175,26;167,64;0;8;166,37
99;175,26;167,64;0;8;165,1
99;175,26;167,64;0;8;159,258
99;175,26;167,64;0;8;158,75
100;175,26;167,64;1;3;180,848
100;175,26;167,64;1;3;180,34
100;175,26;167,64;1;3;177,8
101;175,26;169,418;1;6;190,5
101;175,26;169,418;1;6;187,96
101;175,26;169,418;1;6;182,88
101;175,26;169,418;1;6;173,99
101;175,26;169,418;1;6;170,18
101;175,26;169,418;1;6;167,64
102;175,26;167,64;1;6;177,8
102;175,26;167,64;1;6;173,99
102;175,26;167,64;1;6;172,72
102;175,26;167,64;0;6;165,1
102;175,26;167,64;0;6;160,02
102;175,26;167,64;0;6;158,75
103;175,26;168,91;1;5;185,42
103;175,26;168,91;1;5;180,34
103;175,26;168,91;1;5;179,07
103;175,26;168,91;1;5;179,07
103;175,26;168,91;0;5;154,94
104;176,53;168,91;1;4;179,07
104;176,53;168,91;1;4;171,45
104;176,53;168,91;0;4;163,83
104;176,53;168,91;0;4;162,56
105;175,26;168,91;1;6;180,34
105;175,26;168,91;0;6;173,99
105;175,26;168,91;0;6;171,45
105;175,26;168,91;0;6;167,64
105;175,26;168,91;0;6;160,02
105;175,26;168,91;0;6;160,02
106;176,53;167,64;1;7;180,34
106;176,53;167,64;1;7;180,34
106;176,53;167,64;1;7;179,07
106;176,53;167,64;1;7;179,07
106;176,53;167,64;0;7;168,91
106;176,53;167,64;0;7;166,37
106;176,53;167,64;0;7;163,83
107;175,26;167,64;1;9;185,42
107;175,26;167,64;1;9;182,88
107;175,26;167,64;1;9;175,26
107;175,26;167,64;1;9;175,26
107;175,26;167,64;0;9;168,91
107;175,26;167,64;0;9;166,37
107;175,26;167,64;0;9;166,37
107;175,26;167,64;0;9;165,1
107;175,26;167,64;0;9;162,56
108;175,26;165,1;1;7;177,8
108;175,26;165,1;1;7;173,99
108;175,26;165,1;1;7;170,18
108;175,26;165,1;0;7;165,1
108;175,26;165,1;0;7;162,56
108;175,26;165,1;0;7;161,29
108;175,26;165,1;0;7;154,94
109;176,53;163,83;1;7;177,038
109;176,53;163,83;1;7;172,72
109;176,53;163,83;1;7;152,4
109;176,53;163,83;0;7;165,608
109;176,53;163,83;0;7;163,83
109;176,53;163,83;0;7;161,798
109;176,53;163,83;0;7;152,4
110;175,768;162,56;1;4;182,118
110;175,768;162,56;1;4;168,91
110;175,768;162,56;0;4;165,1
110;175,768;162,56;0;4;161,29
112;175,26;160,02;1;3;175,26
112;175,26;160,02;0;3;171,45
112;175,26;160,02;0;3;161,29
113;175,26;160,02;1;1;182,88
114;175,26;160,02;1;6;185,42
114;175,26;160,02;1;6;177,8
114;175,26;160,02;1;6;177,8
114;175,26;160,02;1;6;162,56
114;175,26;160,02;0;6;167,64
114;175,26;160,02;0;6;157,48
115;175,26;161,29;1;7;179,07
115;175,26;161,29;1;7;170,18
115;175,26;161,29;1;7;167,64
115;175,26;161,29;0;7;165,1
115;175,26;161,29;0;7;160,02
115;175,26;161,29;0;7;157,48
115;175,26;161,29;0;7;154,94
116;175,26;161,29;1;3;179,07
116;175,26;161,29;0;3;161,798
116;175,26;161,29;0;3;160,02
117;177,038;157,48;0;1;158,75
118;176,53;157,48;1;3;185,42
118;176,53;157,48;1;3;182,88
118;176,53;157,48;1;3;175,26
119;175,26;157,48;1;5;185,42
119;175,26;157,48;1;5;180,34
119;175,26;157,48;1;5;180,34
119;175,26;157,48;1;5;175,26
119;175,26;157,48;0;5;160,02
121;175,26;158,75;1;8;180,34
121;175,26;158,75;1;8;177,8
121;175,26;158,75;1;8;177,8
121;175,26;158,75;1;8;175,26
121;175,26;158,75;0;8;161,29
121;175,26;158,75;0;8;158,75
121;175,26;158,75;0;8;158,75
121;175,26;158,75;0;8;157,48
122;175,26;157,48;1;4;182,88
122;175,26;157,48;1;4;172,72
122;175,26;157,48;0;4;167,64
122;175,26;157,48;0;4;167,64
123;176,53;154,94;1;5;177,8
123;176,53;154,94;1;5;176,53
123;176,53;154,94;1;5;175,26
123;176,53;154,94;0;5;160,02
123;176,53;154,94;0;5;157,48
124;175,26;154,94;1;9;172,72
124;175,26;154,94;1;9;172,72
124;175,26;154,94;1;9;171,45
124;175,26;154,94;1;9;162,56
124;175,26;154,94;1;9;160,02
124;175,26;154,94;1;9;160,02
124;175,26;154,94;0;9;161,29
124;175,26;154,94;0;9;157,48
124;175,26;154,94;0;9;157,48
125;175,26;152,4;1;3;179,07
125;175,26;152,4;0;3;172,72
125;175,26;152,4;0;3;158,75
126;175,26;152,4;1;4;175,26
126;175,26;152,4;1;4;167,64
126;175,26;152,4;0;4;156,718
126;175,26;152,4;0;4;153,67
127;175,26;153,67;1;1;176,53
128;174,498;179,07;1;2;180,34
128;174,498;179,07;0;2;156,718
129;173,99;170,18;1;3;185,42
129;173,99;170,18;1;3;180,34
129;173,99;170,18;0;3;170,18
130;173,99;168,91;1;11;177,8
130;173,99;168,91;1;11;175,26
130;173,99;168,91;1;11;175,26
130;173,99;168,91;1;11;174,498
130;173,99;168,91;1;11;173,99
130;173,99;168,91;1;11;173,99
130;173,99;168,91;1;11;172,72
130;173,99;168,91;1;11;172,72
130;173,99;168,91;1;11;172,72
130;173,99;168,91;0;11;160,528
131;172,72;165,1;1;2;171,45
131;172,72;165,1;1;2;167,64
132;172,72;166,37;1;2;167,64
132;172,72;166,37;0;2;162,56
133;172,72;166,37;1;7;182,118
133;172,72;166,37;1;7;181,61
133;172,72;166,37;1;7;179,578
133;172,72;166,37;1;7;166,37
133;172,72;166,37;0;7;168,91
133;172,72;166,37;0;7;165,608
133;172,72;166,37;0;7;156,21
134;172,72;165,1;1;4;182,88
134;172,72;165,1;1;4;182,88
134;172,72;165,1;0;4;172,72
134;172,72;165,1;0;4;167,64
135;173,99;165,1;1;8;175,768
135;173,99;165,1;1;8;172,72
135;173,99;165,1;1;8;167,64
135;173,99;165,1;1;8;167,64
135;173,99;165,1;0;8;157,48
135;173,99;165,1;0;8;156,21
135;173,99;165,1;0;8;154,94
135;173,99;165,1;0;8;152,4
136;172,72;162,56;1;10;180,34
136;172,72;162,56;1;10;172,72
136;172,72;162,56;1;10;172,72
136;172,72;162,56;1;10;170,18
136;172,72;162,56;0;10;165,1
136;172,72;162,56;0;10;162,56
136;172,72;162,56;0;10;160,02
136;172,72;162,56;0;10;160,02
136;172,72;162,56;0;10;157,48
136;172,72;162,56;0;10;154,94
137;172,72;162,56;1;4;167,64
137;172,72;162,56;1;4;160,02
137;172,72;162,56;0;4;166,37
137;172,72;162,56;0;4;157,48
138;172,72;162,56;1;5;180,848
138;172,72;162,56;1;5;180,848
138;172,72;162,56;1;5;175,26
138;172,72;162,56;1;5;173,99
138;172,72;162,56;0;5;158,75
139;172,72;163,83;0;1;157,48
140;172,72;162,56;1;10;175,26
140;172,72;162,56;1;10;170,18
140;172,72;162,56;1;10;167,64
140;172,72;162,56;0;10;167,64
140;172,72;162,56;0;10;167,64
140;172,72;162,56;0;10;165,1
140;172,72;162,56;0;10;165,1
140;172,72;162,56;0;10;165,1
140;172,72;162,56;0;10;162,56
140;172,72;162,56;0;10;160,02
141;172,72;160,02;1;8;179,07
141;172,72;160,02;1;8;177,8
141;172,72;160,02;1;8;172,72
141;172,72;160,02;1;8;167,64
141;172,72;160,02;1;8;167,64
141;172,72;160,02;0;8;167,64
141;172,72;160,02;0;8;157,48
141;172,72;160,02;0;8;156,21
142;173,99;161,29;1;4;186,69
142;173,99;161,29;1;4;177,8
142;173,99;161,29;1;4;176,53
142;173,99;161,29;0;4;166,37
143;172,72;160,02;1;1;170,18
144;172,72;160,02;1;4;177,8
144;172,72;160,02;1;4;172,72
144;172,72;160,02;0;4;163,83
144;172,72;160,02;0;4;162,56
145;172,72;160,02;1;8;180,34
145;172,72;160,02;1;8;172,72
145;172,72;160,02;1;8;167,64
145;172,72;160,02;1;8;166,37
145;172,72;160,02;1;8;165,1
145;172,72;160,02;0;8;160,02
145;172,72;160,02;0;8;157,48
145;172,72;160,02;0;8;157,48
146;172,72;160,02;1;6;170,18
146;172,72;160,02;1;6;170,18
146;172,72;160,02;1;6;167,64
146;172,72;160,02;0;6;162,56
146;172,72;160,02;0;6;161,29
146;172,72;160,02;0;6;154,94
147;173,99;161,29;1;1;173,228
148;172,72;160,02;1;1;177,8
149;173,228;161,29;1;5;177,8
149;173,228;161,29;1;5;175,26
149;173,228;161,29;1;5;170,18
149;173,228;161,29;1;5;166,37
149;173,228;161,29;0;5;163,83
150;172,72;158,75;1;1;173,99
151;174,498;157,48;1;2;171,958
151;174,498;157,48;0;2;156,718
152;172,72;158,75;1;1;168,91
153;172,72;154,94;1;5;173,99
153;172,72;154,94;1;5;172,72
153;172,72;154,94;1;5;162,56
153;172,72;154,94;0;5;161,29
153;172,72;154,94;0;5;160,02
154;172,72;152,908;1;1;169,418
155;172,72;152,4;1;7;162,56
155;172,72;152,4;0;7;154,94
155;172,72;152,4;0;7;154,94
155;172,72;152,4;0;7;152,4
155;172,72;152,4;0;7;152,4
155;172,72;152,4;0;7;152,4
155;172,72;152,4;0;7;142,24
156;172,72;152,4;1;4;171,45
156;172,72;152,4;1;4;170,18
156;172,72;152,4;1;4;168,91
156;172,72;152,4;0;4;152,4
157;173,99;149,86;1;1;175,26
158;172,72;149,86;1;10;172,72
158;172,72;149,86;1;10;165,1
158;172,72;149,86;1;10;164,338
158;172,72;149,86;1;10;162,56
158;172,72;149,86;1;10;162,56
158;172,72;149,86;1;10;160,02
158;172,72;149,86;0;10;165,1
158;172,72;149,86;0;10;165,1
158;172,72;149,86;0;10;157,48
158;172,72;149,86;0;10;154,94
159;170,18;168,148;1;5;184,658
159;170,18;168,148;1;5;184,658
159;170,18;168,148;1;5;181,61
159;170,18;168,148;0;5;166,37
159;170,18;168,148;0;5;161,29
160;170,18;168,91;1;1;180,34
162;170,18;165,1;1;6;177,038
162;170,18;165,1;1;6;171,45
162;170,18;165,1;0;6;166,37
162;170,18;165,1;0;6;165,1
162;170,18;165,1;0;6;163,83
162;170,18;165,1;0;6;161,29
163;170,18;166,37;1;5;177,8
163;170,18;166,37;1;5;175,26
163;170,18;166,37;0;5;166,37
163;170,18;166,37;0;5;166,37
163;170,18;166,37;0;5;160,02
164;170,18;166,37;1;4;177,8
164;170,18;166,37;1;4;171,958
164;170,18;166,37;0;4;160,02
164;170,18;166,37;0;4;152,4
165;170,18;165,1;1;3;165,1
165;170,18;165,1;0;3;157,48
165;170,18;165,1;0;3;157,48
166;171,45;165,1;1;11;180,34
166;171,45;165,1;1;11;175,26
166;171,45;165,1;0;11;162,56
166;171,45;165,1;0;11;162,56
166;171,45;165,1;0;11;160,02
166;171,45;165,1;0;11;160,02
166;171,45;165,1;0;11;160,02
166;171,45;165,1;0;11;160,02
166;171,45;165,1;0;11;160,02
166;171,45;165,1;0;11;158,75
166;171,45;165,1;0;11;157,48
167;170,18;162,56;1;4;181,61
167;170,18;162,56;1;4;177,8
167;170,18;162,56;1;4;170,18
167;170,18;162,56;1;4;170,18
168;170,18;161,29;1;8;180,34
168;170,18;161,29;1;8;178,308
168;170,18;161,29;1;8;175,768
168;170,18;161,29;1;8;173,99
168;170,18;161,29;1;8;172,72
168;170,18;161,29;1;8;170,18
168;170,18;161,29;1;8;166,37
168;170,18;161,29;0;8;161,29
169;170,18;160,02;1;3;175,26
169;170,18;160,02;1;3;172,72
169;170,18;160,02;0;3;160,02
170;171,45;157,48;1;5;177,8
170;171,45;157,48;1;5;176,53
170;171,45;157,48;1;5;175,26
170;171,45;157,48;1;5;173,99
170;171,45;157,48;0;5;167,64
171;170,18;154,94;1;1;170,18
172;167,64;170,18;1;8;179,07
172;167,64;170,18;1;8;179,07
172;167,64;170,18;1;8;170,18
172;167,64;170,18;1;8;167,64
172;167,64;170,18;1;8;167,64
172;167,64;170,18;0;8;157,48
172;167,64;170,18;0;8;157,48
172;167,64;170,18;0;8;156,21
173;167,64;170,18;1;9;182,88
173;167,64;170,18;1;9;165,1
173;167,64;170,18;1;9;165,1
173;167,64;170,18;0;9;170,18
173;167,64;170,18;0;9;162,56
173;167,64;170,18;0;9;162,56
173;167,64;170,18;0;9;157,48
173;167,64;170,18;0;9;152,4
173;167,64;170,18;0;9;152,4
174;167,64;167,64;1;5;167,64
174;167,64;167,64;1;5;165,1
174;167,64;167,64;0;5;170,18
174;167,64;167,64;0;5;168,91
174;167,64;167,64;0;5;166,37
175;167,64;167,64;1;6;182,88
175;167,64;167,64;1;6;172,72
175;167,64;167,64;0;6;167,64
175;167,64;167,64;0;6;165,1
175;167,64;167,64;0;6;157,48
175;167,64;167,64;0;6;154,94
